
Similarity Threshold,Article ID,Title,Journal,Authors,Affiliations,Keywords,Cluster to which the article was assigned,Number of articles in the selected cluster,Cluster ultimately selected in Phase 2 matching,Status of ReCiter's determination for this article with respect to reference standard
0.3,25673041,Delivery Blood Pressure and Other First Pregnancy Risk Factors in Relation to Hypertensive Disorders in Second Pregnancies.,American journal of hypertension,"Nansi S Boghossian, Paul S Albert, Pauline null Mendola, Katherine L Grantz, Edwina null Yeung, ","Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, Maryland, USA; Department of Epidemiology , Biostatistics , Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, Maryland, USA;, Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, Maryland, USA;, Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, Maryland, USA; yeungedw@mail.nih.gov.","blood pressure,chronic hypertension,gestational hypertension,hypertension,preeclampsia.,",1,147,No,True Negative
0.3,25583609,"Analysis of the contribution of experimental bias, experimental noise, and inter-subject biological variability on the assessment of developmental trajectories in diffusion MRI studies of the brain.",NeuroImage,"Neda null Sadeghi, Amritha null Nayak, Lindsay null Walker, M null Okan irfanoglu, Paul S Albert, Carlo null Pierpaoli, ","Section on Tissue Biophysics and Biomimetics, National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD 20892, USA; Henry Jackson Foundation, Bethesda, MD 20817, USA. Electronic address: neda.sadeghi@nih.gov., Section on Tissue Biophysics and Biomimetics, National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD 20892, USA; Henry Jackson Foundation, Bethesda, MD 20817, USA., Advanced Baby Imaging Lab, Center for Biomedical Engineering, School of Engineering, Brown University, Providence, RI 02912, USA., Section on Tissue Biophysics and Biomimetics, National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD 20892, USA; Henry Jackson Foundation, Bethesda, MD 20817, USA; Center for Neuroscience and Regenerative Medicine, Uniformed Services University of the Health Sciences, Bethesda, MD 20814, USA., Biostatistics and Bioinformatics Branch, Division of Intramural Population Health Research, National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD 20852, USA., Section on Tissue Biophysics and Biomimetics, National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD 20892, USA.","Brain development,DTI,Experimental variability,Mixed effects model,",1,147,No,True Negative
0.3,25576818,Previous prelabor or intrapartum cesarean delivery and risk of placenta previa.,American journal of obstetrics and gynecology,"Katheryne L Downes, Stefanie N Hinkle, Lindsey A Sjaarda, Paul S Albert, Katherine L Grantz, ","Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD; Department of Family Science, University of Maryland School of Public Health, College Park, MD., Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Biostatistics and Bioinformatics Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD. Electronic address: Katherine.grantz@nih.gov.","cesarean delivery,intrapartum,placenta previa,prelabor,",1,147,No,True Negative
0.3,25453345,Risk factors differ between recurrent and incident preeclampsia: a hospital-based cohort study.,Annals of epidemiology,"Nansi S Boghossian, Edwina null Yeung, Pauline null Mendola, Stefanie N Hinkle, S Katherine Laughon, Cuilin null Zhang, Paul S Albert, ",,",",1,147,No,True Negative
0.3,25258202,Fetal growth and ethnic variation.,"The lancet. Diabetes ","Paul S Albert, Katherine L Grantz, ","Biostatistics and Bioinformatics Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD, USA. Electronic address: albertp@mail.nih.gov., Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD, USA.",",",1,147,No,True Negative
0.3,24948345,Effects of pump versus twice-daily injection delivery of synthetic parathyroid hormone 1-34 in children with severe congenital hypoparathyroidism.,The Journal of pediatrics,"Karen K Winer, Kara A Fulton, Paul S Albert, Gordon B Cutler, 24948345 null 24948345, ","Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD. Electronic address: karenwiner@gmail.com., Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Adolescent,Child,Female,Humans,Hypoparathyroidism,Infusion Pumps,Injections, Subcutaneous,Male,Parathyroid Hormone,Severity of Illness Index,Young Adult,",1,147,No,True Negative
0.3,24831103,Combination of longitudinal biomarkers in predicting binary events.,"Biostatistics (Oxford, England)","Danping null Liu, Paul S Albert, ","Biostatistics and Bioinformatics Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institute of Health, Bethesda, MD 20852, USA danping.liu@nih.gov., Biostatistics and Bioinformatics Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institute of Health, Bethesda, MD 20852, USA.","Area under ROC curve,Fetal growth,Longitudinal biomarker combination,Macrosomia,Pattern mixture model,Risk estimation,",1,147,No,True Negative
0.3,24745931,The association between kinematic risky driving among parents and their teenage children: moderation by shared personality characteristics.,Accident; analysis and prevention,"Johnathon P Ehsani, Bruce null Simons-morton, Yunlong null Xie, Sheila G Klauer, Paul S Albert, 24745931 null 24745931, ","Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD, USA. Electronic address: johnathon.ehsani@nih.gov., Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD, USA., Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD, USA., Virginia Tech Transportation Institute, Blacksburg, VA, USA., Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD, USA., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States Virginia Polytechnic Institute and State University State University Virginia Tech Virginia Polytechnic Institute and State University Blacksburg United States ","Driving behavior,Family,Naturalistic driving,Parent,Teenager,Adolescent,Adolescent Behavior,Automobile Driving,Biomechanical Phenomena,Female,Humans,Male,Parents,Personality,Personality Inventory,Risk-Taking,",1,147,No,True Negative
0.3,24490111,Maternal Dietary Patterns during Third Trimester in Association with Birthweight Characteristics and Early Infant Growth.,Scientifica,"Anna K Poon, Edwina null Yeung, Nansi null Boghossian, Paul S Albert, Cuilin null Zhang, ","Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard, 7B03, Bethesda, MD 20892, USA ; Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, 2024 E. Monument Street, Baltimore, MD 21205, USA., Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard, 7B03, Bethesda, MD 20892, USA., Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard, 7B03, Bethesda, MD 20892, USA., Biostatistics and Bioinformatics Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard, 7B03, Bethesda, MD 20892, USA., Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard, 7B03, Bethesda, MD 20892, USA.",",",1,147,No,True Negative
0.3,24477211,Cancer cluster investigations: review of the past and proposals for the future.,International journal of environmental research and public health,"Michael null Goodman, Judy S Lakind, Jerald A Fagliano, Timothy L Lash, Joseph L Wiemels, Deborah M Winn, Chirag null Patel, Juliet null Van eenwyk, Betsy A Kohler, Enrique F Schisterman, Paul null Albert, Donald R Mattison, ","Department of Epidemiology, Rollins School of Public Health, Emory University, 1518 Clifton Road, Atlanta, GA 30322, USA. mgoodm2@emory.edu., LaKind Associates, LLC, 106 Oakdale Avenue, Catonsville, MD 21228, USA. lakindassoc@comcast.net., Division of Epidemiology, Environmental and Occupational Health, New Jersey Department of Health, P.O. Box 369, Trenton, NJ 08625, USA. Jerald.Fagliano@doh.state.nj.us., Department of Epidemiology, Rollins School of Public Health, Emory University, 1518 Clifton Road, Atlanta, GA 30322, USA. timothy.lee.lash@emory.edu., Division of Cancer Epidemiology, Department of Epidemiology , Division of Cancer Control and Population Sciences, National Cancer Institute, National Institutes of Health, 9609 Medical Center Drive, Bethesda, MD 20892, USA. WINNDE@MAIL.NIH.GOV., School of Medicine, Stanford University, 1265 Welch Road, Stanford, CA 94305, USA. cjp@stanford.edu., Washington State Department of Health, P.O. Box 47812, Olympia, WA 98504, USA. juliet.vaneenwyk@doh.wa.gov., Department of Epidemiology, Rollins School of Public Health, Emory University, 1518 Clifton Road, Atlanta, GA 30322, USA. bkohler@naaccr.org., Department of Epidemiology, Rollins School of Public Health, Emory University, 1518 Clifton Road, Atlanta, GA 30322, USA. schistee@mail.nih.gov., Department of Epidemiology, Rollins School of Public Health, Emory University, 1518 Clifton Road, Atlanta, GA 30322, USA. albertp@mail.nih.gov., Department of Epidemiology, Rollins School of Public Health, Emory University, 1518 Clifton Road, Atlanta, GA 30322, USA. mattisond@risksciences.com.","Cluster Analysis,Forecasting,Humans,Neoplasms,",1,147,No,True Negative
