smsid,publicationName,issn,issncut,eissn,scienceMetrixDomain,scienceMetrixField,scienceMetrixSubfield,scienceMatrixSubfieldId
"108077","Acta Agriculturae Scandinavica B - Plant Soil Sciences","0906-4710","09064710","1651-1913","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"142879","Acta Scientiarum - Agronomy","1679-9275","16799275","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"104315","Advances in Agronomy","0065-2113","00652113","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"121716","Agricultura Tecnica","0365-2807","03652807","0717-6333","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110206","Agricultural and Food Science","1459-6067","14596067","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106431","Agricultural and Food Science in Finland","1239-0992","12390992","1457-3806","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"115076","Agricultural Systems","0308-521X","0308521X","1873-2267","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"119572","Agricultural Water Management","0378-3774","03783774","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"101920","Agriculture, Ecosystems & Environment","0167-8809","01678809","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"113877","Agrochimica","0002-1857","00021857","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"117025","Agronomie","0249-5627","02495627","1297-9643","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"100218","Agronomy for Sustainable Development","1774-0746","17740746","1773-0155","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"119387","Agronomy journal","0002-1962","00021962","1435-0645","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"109435","AMA, Agricultural Mechanization in Asia, Africa and Latin America","0084-5841","00845841","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"118699","American Journal of Agricultural and Biological Science","1557-4989","15574989","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"100164","American Journal of Alternative Agriculture","0889-1893","08891893","1478-5498","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"120041","Annals of arid zone","0570-1791","05701791","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"112883","Annals of biology","0970-0153","09700153","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"101896","Applied engineering in agriculture","0883-8542","08838542","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"105094","Applied Soil Ecology","0929-1393","09291393","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"116349","Archives of Agronomy and Soil Science","0365-0340","03650340","1476-3567","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106900","Arid Land Research and Management","1532-4982","15324982","1532-4990","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110098","Arid Soil Research and Rehabilitation","0890-3069","08903069","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"101820","Australian Journal of Agricultural Research","0004-9409","00049409","1444-9838","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"105004","Australian Journal of Experimental Agriculture","0816-1089","08161089","1446-5574","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111544","Australian Journal of Soil Research","0004-9573","00049573","1446-568X","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"107009","Berichte uber Landwirtschaft","0005-9080","00059080","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"113411","BioCycle","0276-5055","02765055","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"102990","Biogeochemistry","0168-2563","01682563","1573-515X","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110883","Biological Agriculture and Horticulture","0144-8765","01448765","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106229","Biology and Fertility of Soils","0178-2762","01782762","1432-0789","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"107705","Biosystems Engineering","1537-5110","15375110","1537-5129","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"102775","Bodenkultur","0006-5471","00065471","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111499","Bragantia","0006-8705","00068705","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"133654","California Agriculture","0008-0845","00080845","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110289","Canadian Agricultural Engineering","0045-432X","0045432X","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"101694","Canadian Biosystems Engineering / Le Genie des biosystems au Canada","1492-9058","14929058","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"105465","Canadian journal of plant science. Revue canadienne de phytotechnie","0008-4220","00084220","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"109811","Canadian Journal of Soil Science","0008-4271","00084271","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"116674","Ciencia del Suelo","0326-3169","03263169","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"131550","Ciencia e Agrotecnologia","1413-7054","14137054","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"128163","Ciencia Rural","0103-8478","01038478","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"119940","Communications in Soil Science & Plant Analysis","0010-3624","00103624","1532-2416","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"105693","Compost science & utilization","1065-657X","1065657X","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111666","Computers and Electronics in Agriculture","0168-1699","01681699","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"126004","Discovery and innovation","1015-079X","1015079X","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"114760","Engenharia Agricola","0100-6916","01006916","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"119221","Eurasian Soil Science","1064-2293","10642293","1556-195X","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"116632","European Journal of Agronomy","1161-0301","11610301","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111802","European Journal of Soil Biology","1164-5563","11645563","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"118167","European Journal of Soil Science","1351-0754","13510754","1365-2389","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"112233","Experimental Agriculture","0014-4797","00144797","1469-4441","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"112149","Field Crops Research","0378-4290","03784290","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"105110","Geoderma","0016-7061","00167061","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111247","Grass & Forage Science","0142-5242","01425242","1365-2494","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"120115","Horticultura Brasileira","0102-0536","01020536","1806-9991","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"110470","Indian Journal of Agricultural Sciences","0019-5022","00195022","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"111006","Indian Journal of Agronomy","0537-197X","0537197X","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"102224","International Agricultural Engineering Journal","0858-2114","08582114","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106283","International Agrophysics","0236-8722","02368722","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"131263","International Journal of Agricultural Research","1816-4897","18164897","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"103641","Irrigation and Drainage","1531-0353","15310353","1531-0361","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106775","Irrigation and Drainage Systems","0168-6291","01686291","1573-0654","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"114957","Irrigation Science","0342-7188","03427188","1432-1319","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"103705","Journal of Agricultural Engineering Research","0021-8634","00218634","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"100535","Journal of Agriculture and Rural Development in the Tropics and Subtropics, Supplement","1613-8422","16138422","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"114192","Journal of Agriculture of the University of Puerto Rico","0041-994X","0041994X","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"106113","Journal of Agronomy","1812-5379","18125379","1812-5417","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"115000","Journal of Agronomy and Crop Science","0931-2250","09312250","1439-037X","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"131022","Journal of Central European Agriculture","1332-9049","13329049","","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"115454","Journal of cotton science","1523-6919","15236919","1524-3303","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
"112817","Journal of Crop Production","1092-678X","1092678X","1540-4110","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","1"
