"3","2.37","Ophthalmology","Ophthalmology & Optometry","117"
"7","2.17","Emergency Medicine","Emergency & Critical Care Medicine","104"
"8","2.16","Otolaryngology - Head and Neck Surgery","Otorhinolaryngology","119"
"10","2.06","Cell and Developmental Biology","Nanoscience & Nanotechnology","16"
"31","1.65","Healthcare Policy and Research","Health Policy & Services","139"
"32","1.62","Physiology and Biophysics","General Chemistry","153"
"38","1.5","Microbiology and Immunology","Virology","96"
"39","1.5","Immunology & Microbial Pathogenesis","Virology","96"
"44","1.42","Biochemistry, Cell & Molecular Biology","Biophysics","87"
"47","1.41","Orthopaedic Surgery","Orthopedics","118"
"54","1.3","Biochemistry, Cell & Molecular Biology","Developmental Biology","88"
"56","1.27","Neurology","Neurology & Neurosurgery","113"
"58","1.26","Neuroscience","Neurology & Neurosurgery","113"
"62","1.21","Surgery","Surgery","126"
"65","1.2","Biochemistry & Structural Biology","Biochemistry & Molecular Biology","86"
"69","1.15","Anesthesiology","Biophysics","87"
"75","1.05","Orthopaedic Surgery","Sport Sciences","125"
"79","1.03","Psychiatry","Nursing","140"
"81","0.95","Brain and Mind Research Institute","Experimental Psychology","132"
"82","0.95","Neuroscience","Experimental Psychology","132"
"89","0.93","Psychiatry","Public Health","141"
"96","0.89","Physiology and Biophysics","Biochemistry & Molecular Biology","86"
"104","0.76","Brain and Mind Research Institute","Physiology","94"
"110","0.71","Microbiology and Immunology","Immunology","111"
"113","0.67","Immunology & Microbial Pathogenesis","Biochemistry & Molecular Biology","86"
"115","0.65","Urology","Obstetrics & Reproductive Medicine","115"
"117","0.63","Physiology and Biophysics","Pharmacology & Pharmacy","122"
"118","0.63","Physiology, Biophysics & Systems Biology","Pharmacology & Pharmacy","122"
"122","3.07","Global Health","Tropical Medicine","127"
"123","2.76","Tri-Institute-TDI","Bioinformatics","12"
"130","2.23","Regenerative Medicine","Applied Ethics","49"
"131","2.22","Neurodegen and Mitochondrial Disease","Genetics & Heredity","89"
"132","1.85","Gastroenterology and Hepatology","Gastroenterology & Hepatology","107"
"135","1.62","Uro Oncology","Urology & Nephrology","128"
"139","1.54","Body Imaging","Nuclear Medicine & Medical Imaging","114"
